activity_type,date,title,distance,calories,time,avg_hr,max_hr,aerobic_te,avg_run_cadence,max_run_cadence,avg_pace,best_pace,avg_stride_length,climb_time,temperature,number_of_laps,number_of_runs,month,year,week,weekday,quarter,time_exercise,date_exercise,day_of_week,time_day,week_or_end,cal_per_km,temp_buckets
Running,2020-04-24 18:05:56,Sydney Running,6.78,556.0,00:33:34,153,169,3.5,164.0,181.0,7:59,6:42,1.23,33:34,20.999999999999996,5,5.0,4,2020,17,4,2,18:05:56,2020-04-24,Friday,night,week_day,82.01,Normal (14-23C)
Running,2020-04-23 19:04:29,Sydney Running,4.84,394.0,00:25:24,144,162,3.0,162.0,175.0,8:27,1:53,1.17,25:24,21.999999999999996,4,4.0,4,2020,17,3,2,19:04:29,2020-04-23,Thursday,night,week_day,81.4,Normal (14-23C)
Running,2020-04-21 17:09:46,Sydney Running,4.89,392.0,00:23:55,151,177,3.2,165.0,181.0,7:52,6:41,1.24,23:55,21.999999999999996,4,4.0,4,2020,17,1,2,17:09:46,2020-04-21,Tuesday,afternoon,week_day,80.16,Normal (14-23C)
Running,2020-04-18 13:21:24,Sydney Running,5.41,487.0,00:30:32,151,184,3.5,162.0,225.0,9:06,7:03,1.09,30:32,23.000000000000004,4,4.0,4,2020,16,5,2,13:21:24,2020-04-18,Saturday,afternoon,weekend,90.02,Hot (>23C)
Running,2020-04-16 18:04:12,Sydney Running,3.8,297.0,00:18:17,150,166,2.9,166.0,183.0,7:44,6:17,1.26,18:17,24.0,3,3.0,4,2020,16,3,2,18:04:12,2020-04-16,Thursday,night,week_day,78.16,Hot (>23C)
Running,2020-04-15 16:57:33,Sydney Running,4.84,383.0,00:23:30,151,170,3.2,167.0,183.0,7:49,6:21,1.23,23:30,23.000000000000004,4,4.0,4,2020,16,2,2,16:57:33,2020-04-15,Wednesday,afternoon,week_day,79.13,Hot (>23C)
Running,2020-04-14 18:06:36,Sydney Running,7.13,571.0,00:34:45,154,170,3.7,167.0,187.0,7:50,5:29,1.22,34:45,20.0,5,5.0,4,2020,16,1,2,18:06:36,2020-04-14,Tuesday,night,week_day,80.08,Normal (14-23C)
Running,2020-04-11 16:08:32,Sydney Running,6.31,496.0,00:31:01,151,167,3.4,163.0,185.0,7:54,6:30,1.25,31:01,21.999999999999996,4,4.0,4,2020,15,5,2,16:08:32,2020-04-11,Saturday,afternoon,weekend,78.61,Normal (14-23C)
Running,2020-04-09 17:35:04,Sydney Running,4.84,395.0,00:25:07,152,166,3.1,164.0,182.0,8:21,6:52,1.18,25:07,20.999999999999996,4,4.0,4,2020,15,3,2,17:35:04,2020-04-09,Thursday,afternoon,week_day,81.61,Normal (14-23C)
Running,2020-04-06 17:38:29,Sydney Running,6.45,489.0,00:29:23,157,176,3.7,170.0,190.0,7:20,5:24,1.29,29:23,20.0,5,5.0,4,2020,15,0,2,17:38:29,2020-04-06,Monday,afternoon,week_day,75.81,Normal (14-23C)
Running,2020-04-05 18:06:47,Sydney Running,4.84,420.0,00:26:46,149,169,3.3,164.0,225.0,8:54,7:13,1.1,26:46,20.999999999999996,4,4.0,4,2020,14,6,2,18:06:47,2020-04-05,Sunday,night,weekend,86.78,Normal (14-23C)
Running,2020-04-04 18:50:18,Sydney Running,6.45,547.0,00:32:58,156,186,3.7,169.0,185.0,8:14,6:59,1.16,32:58,20.999999999999996,5,5.0,4,2020,14,5,2,18:50:18,2020-04-04,Saturday,night,weekend,84.81,Normal (14-23C)
Running,2020-03-31 18:33:13,Sydney Running,6.44,552.0,00:33:11,157,176,3.9,166.0,175.0,8:17,7:10,1.17,33:11,23.000000000000004,5,5.0,3,2020,14,1,1,18:33:13,2020-03-31,Tuesday,night,week_day,85.71,Hot (>23C)
Running,2020-03-30 18:03:06,Sydney Running,4.84,373.0,00:24:56,143,167,3.1,165.0,177.0,8:17,7:12,1.18,24:56,25.0,4,4.0,3,2020,14,0,1,18:03:06,2020-03-30,Monday,night,week_day,77.07,Hot (>23C)
Running,2020-03-29 19:07:21,Sydney Running,3.64,283.0,00:18:01,151,169,3.0,166.0,181.0,8:00,7:09,1.21,18:01,23.000000000000004,3,3.0,3,2020,13,6,1,19:07:21,2020-03-29,Sunday,night,weekend,77.75,Hot (>23C)
Running,2020-03-28 15:09:22,Sydney Running,6.45,513.0,00:31:45,154,168,3.8,168.0,181.0,7:56,6:48,1.21,31:45,25.0,5,5.0,3,2020,13,5,1,15:09:22,2020-03-28,Saturday,afternoon,weekend,79.53,Hot (>23C)
Running,2020-03-26 19:03:45,Sydney Running,6.47,504.0,00:30:33,157,181,4.0,170.0,193.0,7:36,5:42,1.24,30:33,20.999999999999996,5,5.0,3,2020,13,3,1,19:03:45,2020-03-26,Thursday,night,week_day,77.9,Normal (14-23C)
Running,2020-03-24 18:45:12,Sydney Running,3.83,297.0,00:18:59,150,174,3.2,168.0,179.0,7:59,6:46,1.2,18:59,21.999999999999996,3,3.0,3,2020,13,1,1,18:45:12,2020-03-24,Tuesday,night,week_day,77.55,Normal (14-23C)
Running,2020-03-23 17:53:17,Sydney Running,5.79,470.0,00:28:59,155,169,3.8,167.0,200.0,8:03,6:12,1.2,28:59,20.999999999999996,4,4.0,3,2020,13,0,1,17:53:17,2020-03-23,Monday,afternoon,week_day,81.17,Normal (14-23C)
Running,2020-03-22 17:36:37,Sydney Running,6.94,561.0,00:35:46,152,168,3.8,166.0,185.0,8:18,7:03,1.17,35:46,24.0,5,5.0,3,2020,12,6,1,17:36:37,2020-03-22,Sunday,afternoon,weekend,80.84,Hot (>23C)
Running,2020-03-15 18:36:50,Sydney Running,3.83,317.0,00:19:31,155,182,3.4,166.0,183.0,8:13,6:48,1.18,19:31,20.0,3,3.0,3,2020,11,6,1,18:36:50,2020-03-15,Sunday,night,weekend,82.77,Normal (14-23C)
Running,2020-03-11 18:26:18,Sydney Running,6.58,550.0,00:33:29,158,171,4.0,166.0,181.0,8:11,6:48,1.18,33:29,21.999999999999996,5,5.0,3,2020,11,2,1,18:26:18,2020-03-11,Wednesday,night,week_day,83.59,Normal (14-23C)
Running,2020-03-08 17:48:07,Sydney Running,4.54,336.0,00:21:16,150,168,3.3,167.0,195.0,7:32,5:44,1.28,21:16,21.999999999999996,3,3.0,3,2020,10,6,1,17:48:07,2020-03-08,Sunday,afternoon,weekend,74.01,Normal (14-23C)
Running,2020-03-04 18:41:53,Sydney Running,1.61,117.0,00:08:24.7,136,148,2.0,160.0,175.0,8:24,7:37,1.19,8:24.7,25.0,2,2.0,3,2020,10,2,1,18:41:53,2020-03-04,Wednesday,night,week_day,72.67,Hot (>23C)
Running,2020-02-29 15:55:38,Sydney Running,4.51,347.0,00:22:17,150,170,3.4,166.0,213.0,7:58,6:38,1.22,22:17,26.999999999999996,3,3.0,2,2020,9,5,1,15:55:38,2020-02-29,Saturday,afternoon,weekend,76.94,Hot (>23C)
Running,2020-02-25 18:51:46,Sydney Running,4.47,335.0,00:21:51,150,171,3.4,164.0,187.0,7:51,6:19,1.25,21:51,25.999999999999996,3,3.0,2,2020,9,1,1,18:51:46,2020-02-25,Tuesday,night,week_day,74.94,Hot (>23C)
Running,2020-02-23 17:55:25,Sydney Running,4.68,334.0,00:22:29,144,169,3.4,163.0,185.0,7:43,6:02,1.28,22:29,24.0,3,3.0,2,2020,8,6,1,17:55:25,2020-02-23,Sunday,afternoon,weekend,71.37,Hot (>23C)
Running,2020-02-17 19:11:52,Sydney Running,6.47,490.0,00:33:06,147,165,3.8,165.0,177.0,8:14,7:14,1.18,33:06,25.0,5,5.0,2,2020,8,0,1,19:11:52,2020-02-17,Monday,night,week_day,75.73,Hot (>23C)
Running,2020-02-15 18:44:03,Sydney Running,3.64,279.0,00:20:38,138,166,2.9,159.0,179.0,9:08,7:21,1.11,20:38,25.0,3,3.0,2,2020,7,5,1,18:44:03,2020-02-15,Saturday,night,weekend,76.65,Hot (>23C)
Running,2020-02-12 18:41:54,Sydney Running,6.45,521.0,00:32:52,155,175,4.3,167.0,193.0,8:12,5:57,1.18,32:52,25.0,5,5.0,2,2020,7,2,1,18:41:54,2020-02-12,Wednesday,night,week_day,80.78,Hot (>23C)
Elliptical,2020-02-11 19:14:49,Elliptical,0.0,36.0,00:05:01.1,99,110,0.2,111.0,149.0,,,0.0,5:01.1,25.999999999999996,1,1.0,2,2020,7,1,1,19:14:49,2020-02-11,Tuesday,night,week_day,0.0,Hot (>23C)
Running,2020-02-10 18:29:52,Sydney Running,6.31,499.0,00:33:24,147,168,3.9,164.0,181.0,8:31,7:00,1.15,33:24,25.999999999999996,4,4.0,2,2020,7,0,1,18:29:52,2020-02-10,Monday,night,week_day,79.08,Hot (>23C)
Running,2020-02-06 18:10:38,Sydney Running,6.45,508.0,00:36:17,142,159,3.5,161.0,177.0,9:03,7:40,1.11,36:17,23.000000000000004,5,5.0,2,2020,6,3,1,18:10:38,2020-02-06,Thursday,night,week_day,78.76,Hot (>23C)
Treadmill Running,2020-02-05 18:02:57,Treadmill Running,2.04,165.0,00:13:01,130,141,2.2,138.0,167.0,10:14,8:04,1.13,13:01,25.0,2,2.0,2,2020,6,2,1,18:02:57,2020-02-05,Wednesday,night,week_day,80.88,Hot (>23C)
Treadmill Running,2020-02-04 16:35:50,Treadmill Running,1.01,65.0,00:05:10.2,128,137,1.2,162.0,168.0,8:12,7:30,1.21,5:10.2,24.0,1,1.0,2,2020,6,1,1,16:35:50,2020-02-04,Tuesday,afternoon,week_day,64.36,Hot (>23C)
Treadmill Running,2020-02-03 18:01:11,Treadmill Running,2.04,148.0,00:10:54,135,147,2.3,164.0,169.0,8:34,7:37,1.15,10:54,24.0,2,2.0,2,2020,6,0,1,18:01:11,2020-02-03,Monday,night,week_day,72.55,Hot (>23C)
Running,2020-02-01 14:37:52,Sydney Running,4.25,359.0,00:23:11,152,171,3.7,160.0,178.0,8:47,6:59,1.15,23:11,33.0,3,3.0,2,2020,5,5,1,14:37:52,2020-02-01,Saturday,afternoon,weekend,84.47,Hot (>23C)
Running,2020-01-23 06:36:29,Running,0.79,71.0,00:04:23.3,159,173,2.1,166.0,183.0,8:56,8:11,1.08,4:23.3,25.999999999999996,1,1.0,1,2020,4,3,1,06:36:29,2020-01-23,Thursday,morning,week_day,89.87,Hot (>23C)
Running,2020-01-16 07:18:28,Running,1.87,177.0,00:11:19,156,172,3.0,145.0,179.0,9:47,8:23,1.15,11:19,24.0,2,2.0,1,2020,3,3,1,07:18:28,2020-01-16,Thursday,morning,week_day,94.65,Hot (>23C)
Running,2020-01-12 15:05:31,Sydney Running,3.43,281.0,00:18:25,151,169,3.3,164.0,176.0,8:40,7:46,1.13,18:25,20.0,3,3.0,1,2020,2,6,1,15:05:31,2020-01-12,Sunday,afternoon,weekend,81.92,Normal (14-23C)
Cycling,2019-12-29 16:34:02,Sydney Cycling,5.41,183.0,00:23:32,106,134,0.8,,,8.6,23.1,0.0,23:32,26.999999999999996,1,1.0,12,2019,52,6,4,16:34:02,2019-12-29,Sunday,afternoon,weekend,33.83,Hot (>23C)
Cycling,2019-12-28 19:08:14,Sydney Cycling,5.6,223.0,00:26:36,111,134,1.2,,,7.9,23.5,0.0,26:36,25.0,1,1.0,12,2019,52,5,4,19:08:14,2019-12-28,Saturday,night,weekend,39.82,Hot (>23C)
Running,2019-12-28 18:18:29,Sydney Running,4.02,289.0,00:20:46,139,155,3.1,162.0,183.0,8:18,6:42,1.2,20:46,24.0,3,3.0,12,2019,52,5,4,18:18:29,2019-12-28,Saturday,night,weekend,71.89,Hot (>23C)
Treadmill Running,2019-12-15 15:32:23,Treadmill Running,2.03,156.0,00:10:35,143,155,2.6,163.0,169.0,8:23,7:20,1.18,10:35,24.0,2,2.0,12,2019,50,6,4,15:32:23,2019-12-15,Sunday,afternoon,weekend,76.85,Hot (>23C)
Running,2019-11-28 18:31:09,Darwin Running,4.84,375.0,00:25:54,145,173,3.5,160.0,177.0,8:36,7:01,1.17,25:54,30.999999999999996,4,4.0,11,2019,48,3,4,18:31:09,2019-11-28,Thursday,night,week_day,77.48,Hot (>23C)
Running,2019-11-24 18:51:37,Darwin Running,5.04,414.0,00:27:31,149,168,3.6,155.0,196.0,8:47,7:23,1.18,27:31,28.000000000000004,4,4.0,11,2019,47,6,4,18:51:37,2019-11-24,Sunday,night,weekend,82.14,Hot (>23C)
Running,2019-11-16 17:29:49,Sydney Running,3.22,253.0,00:17:28,144,165,3.1,161.0,177.0,8:44,7:47,1.15,17:28,21.999999999999996,3,3.0,11,2019,46,5,4,17:29:49,2019-11-16,Saturday,afternoon,weekend,78.57,Normal (14-23C)
Elliptical,2019-11-14 18:30:33,Elliptical,0.0,53.0,00:10:32,86,131,0.2,70.0,98.0,,,0.0,10:32,24.0,1,1.0,11,2019,46,3,4,18:30:33,2019-11-14,Thursday,night,week_day,0.0,Hot (>23C)
Treadmill Running,2019-11-13 18:02:55,Treadmill Running,2.24,134.0,00:10:24,131,148,2.0,167.0,173.0,7:30,7:06,1.29,10:24,23.000000000000004,2,2.0,11,2019,46,2,4,18:02:55,2019-11-13,Wednesday,night,week_day,59.82,Hot (>23C)
Running,2019-11-12 17:34:02,Sydney Running,4.94,394.0,00:26:20,149,169,3.2,163.0,180.0,8:34,7:17,1.15,26:20,30.0,4,4.0,11,2019,46,1,4,17:34:02,2019-11-12,Tuesday,afternoon,week_day,79.76,Hot (>23C)
Running,2019-11-10 18:57:37,Sydney Running,2.12,165.0,00:10:46,150,162,2.7,164.0,173.0,8:11,7:39,1.2,10:46,20.0,2,2.0,11,2019,45,6,4,18:57:37,2019-11-10,Sunday,night,weekend,77.83,Normal (14-23C)
Running,2019-11-02 16:36:45,Sydney Running,4.99,384.0,00:25:49,148,161,3.3,161.0,189.0,8:20,6:09,1.2,25:49,24.0,4,4.0,11,2019,44,5,4,16:36:45,2019-11-02,Saturday,afternoon,weekend,76.95,Hot (>23C)
Running,2019-10-31 06:27:47,Sydney Running,0.74,50.0,00:03:53.4,131,146,1.1,157.0,170.0,8:32,7:16,1.2,3:53.4,25.0,1,1.0,10,2019,44,3,4,06:27:47,2019-10-31,Thursday,morning,week_day,67.57,Hot (>23C)
Treadmill Running,2019-10-29 19:02:16,Treadmill Running,0.95,64.0,00:05:04.8,130,148,1.1,159.0,170.0,8:40,7:37,1.17,5:04.8,24.0,1,1.0,10,2019,44,1,4,19:02:16,2019-10-29,Tuesday,night,week_day,67.37,Hot (>23C)
Running,2019-10-28 18:57:27,Sydney Running,7.55,610.0,00:39:49,153,177,4.0,164.0,182.0,8:30,6:36,1.15,39:49,19.0,5,5.0,10,2019,44,0,4,18:57:27,2019-10-28,Monday,night,week_day,80.79,Normal (14-23C)
Running,2019-10-26 17:11:34,Sydney Running,0.6,45.0,00:03:05.5,150,163,1.1,162.0,173.0,8:19,7:50,1.19,3:05.5,25.999999999999996,1,1.0,10,2019,43,5,4,17:11:34,2019-10-26,Saturday,afternoon,weekend,75.0,Hot (>23C)
Running,2019-10-26 16:31:35,Sydney Running,2.2,166.0,00:11:48,143,164,2.4,162.0,173.0,8:37,6:55,1.15,11:48,30.0,2,2.0,10,2019,43,5,4,16:31:35,2019-10-26,Saturday,afternoon,weekend,75.45,Hot (>23C)
Treadmill Running,2019-10-25 21:42:35,Treadmill Running,1.29,86.0,00:06:01.0,142,155,2.0,163.0,171.0,7:30,6:57,1.32,6:01.0,25.0,1,1.0,10,2019,43,4,4,21:42:35,2019-10-25,Friday,night,week_day,66.67,Hot (>23C)
Treadmill Running,2019-10-24 21:20:57,Treadmill Running,1.24,78.0,00:05:46.5,136,153,1.7,164.0,172.0,7:33,6:59,1.3,5:46.5,25.999999999999996,1,1.0,10,2019,43,3,4,21:20:57,2019-10-24,Thursday,night,week_day,62.9,Hot (>23C)
Treadmill Running,2019-10-23 20:37:36,Treadmill Running,1.79,197.0,00:21:18,120,154,2.2,69.0,173.0,19:11,6:54,0.9,21:18,24.0,2,2.0,10,2019,43,2,4,20:37:36,2019-10-23,Wednesday,night,week_day,110.06,Hot (>23C)
Running,2019-10-21 18:10:23,Sydney Running,6.65,542.0,00:35:08,153,190,4.1,164.0,179.0,8:30,6:51,1.15,35:08,20.0,5,5.0,10,2019,43,0,4,18:10:23,2019-10-21,Monday,night,week_day,81.5,Normal (14-23C)
Treadmill Running,2019-10-19 20:07:34,Treadmill Running,1.56,120.0,00:08:22.7,141,149,2.2,165.0,173.0,8:39,7:41,1.13,8:22.7,24.0,1,1.0,10,2019,42,5,4,20:07:34,2019-10-19,Saturday,night,weekend,76.92,Hot (>23C)
Treadmill Running,2019-10-18 18:14:16,Treadmill Running,2.86,237.0,00:14:46,158,169,3.1,169.0,177.0,8:18,7:35,1.15,14:46,21.999999999999996,2,2.0,10,2019,42,4,4,18:14:16,2019-10-18,Friday,night,week_day,82.87,Normal (14-23C)
Running,2019-10-18 18:00:08,Sydney Running,1.95,176.0,00:12:15,142,160,2.5,162.0,171.0,10:05,7:47,0.98,12:15,21.999999999999996,2,2.0,10,2019,42,4,4,18:00:08,2019-10-18,Friday,night,week_day,90.26,Normal (14-23C)
Treadmill Running,2019-10-17 18:09:28,Treadmill Running,3.01,271.0,00:17:29,152,167,3.3,164.0,177.0,9:21,7:34,1.05,17:29,23.000000000000004,2,2.0,10,2019,42,3,4,18:09:28,2019-10-17,Thursday,night,week_day,90.03,Hot (>23C)
Treadmill Running,2019-10-16 18:40:43,Treadmill Running,2.95,260.0,00:17:11,149,177,3.2,165.0,175.0,9:24,7:41,1.04,17:11,24.0,2,2.0,10,2019,42,2,4,18:40:43,2019-10-16,Wednesday,night,week_day,88.14,Hot (>23C)
Treadmill Running,2019-10-15 18:51:06,Treadmill Running,2.95,256.0,00:17:51,142,162,3.1,159.0,177.0,9:46,7:36,1.04,17:51,24.0,2,2.0,10,2019,42,1,4,18:51:06,2019-10-15,Tuesday,night,week_day,86.78,Hot (>23C)
Treadmill Running,2019-10-11 18:38:04,Treadmill Running,1.48,153.0,00:11:04,140,154,2.4,133.0,168.0,11:59,8:10,1.01,11:04,24.0,1,1.0,10,2019,41,4,4,18:38:04,2019-10-11,Friday,night,week_day,103.38,Hot (>23C)
Running,2019-10-08 18:22:44,Sydney Running,5.66,485.0,00:31:11,155,174,4.0,164.0,216.0,8:52,7:12,1.11,31:11,15.999999999999998,4,4.0,10,2019,41,1,4,18:22:44,2019-10-08,Tuesday,night,week_day,85.69,Normal (14-23C)
Running,2019-10-07 15:59:28,Sydney Running,6.58,586.0,00:38:12,154,183,4.6,160.0,195.0,9:21,5:10,1.08,38:12,21.999999999999996,5,5.0,10,2019,41,0,4,15:59:28,2019-10-07,Monday,afternoon,week_day,89.06,Normal (14-23C)
Running,2019-09-26 21:37:48,Running,0.4,27.0,00:02:19.4,124,137,0.5,151.0,165.0,9:25,8:54,1.13,2:19.4,25.999999999999996,1,1.0,9,2019,39,3,3,21:37:48,2019-09-26,Thursday,night,week_day,67.5,Hot (>23C)
Running,2019-09-26 21:27:37,Running,0.69,51.0,00:04:06.5,129,140,1.1,154.0,165.0,9:29,8:54,1.1,4:06.5,28.000000000000004,1,1.0,9,2019,39,3,3,21:27:37,2019-09-26,Thursday,night,week_day,73.91,Hot (>23C)
Running,2019-09-26 11:07:36,Santiago Running,1.17,91.0,00:06:12.2,145,165,2.1,156.0,176.0,8:32,8:24,1.21,6:12.2,36.0,1,1.0,9,2019,39,3,3,11:07:36,2019-09-26,Thursday,morning,week_day,77.78,Hot (>23C)
Elliptical,2019-09-26 09:32:00,Elliptical,0.0,13.0,00:05:05.7,70,82,0.0,108.0,137.0,,,0.0,5:05.7,26.999999999999996,1,1.0,9,2019,39,3,3,09:32:00,2019-09-26,Thursday,morning,week_day,0.0,Hot (>23C)
Running,2019-09-26 07:42:40,Santiago Running,0.43,29.0,00:02:26.6,130,143,1.0,157.0,175.0,9:08,8:24,1.13,2:26.6,25.0,1,1.0,9,2019,39,3,3,07:42:40,2019-09-26,Thursday,morning,week_day,67.44,Hot (>23C)
Running,2019-09-23 21:30:48,Running,0.97,76.0,00:05:29.1,137,149,2.0,157.0,171.0,9:07,8:43,1.12,5:29.1,29.0,1,1.0,9,2019,39,0,3,21:30:48,2019-09-23,Monday,night,week_day,78.35,Hot (>23C)
Running,2019-09-21 17:41:19,Santiago Running,6.45,546.0,00:35:48,150,173,4.1,163.0,181.0,8:56,7:45,1.11,35:48,30.0,5,5.0,9,2019,38,5,3,17:41:19,2019-09-21,Saturday,afternoon,weekend,84.65,Hot (>23C)
Treadmill Running,2019-09-21 09:05:38,Treadmill Running,1.67,126.0,00:09:41.2,132,143,2.1,159.0,163.0,9:17,8:49,1.09,9:41.2,24.0,2,2.0,9,2019,38,5,3,09:05:38,2019-09-21,Saturday,morning,weekend,75.45,Hot (>23C)
Elliptical,2019-09-19 08:22:02,Elliptical,0.0,28.0,00:07:27.8,78,103,0.1,96.0,133.0,,,0.0,7:27.8,25.999999999999996,1,1.0,9,2019,38,3,3,08:22:02,2019-09-19,Thursday,morning,week_day,0.0,Hot (>23C)
Treadmill Running,2019-09-19 07:31:44,Treadmill Running,1.43,112.0,00:07:27.5,145,157,2.3,169.0,179.0,8:25,6:27,1.13,7:27.5,26.999999999999996,1,1.0,9,2019,38,3,3,07:31:44,2019-09-19,Thursday,morning,week_day,78.32,Hot (>23C)
Elliptical,2019-09-17 07:10:00,Elliptical,0.0,184.0,00:18:45,116,136,1.7,74.0,148.0,,,0.0,18:45,26.999999999999996,1,1.0,9,2019,38,1,3,07:10:00,2019-09-17,Tuesday,morning,week_day,0.0,Hot (>23C)
Running,2019-09-14 17:43:13,Santiago Running,7.26,659.0,00:41:32,154,178,4.6,160.0,182.0,9:12,7:46,1.09,41:32,33.0,5,5.0,9,2019,37,5,3,17:43:13,2019-09-14,Saturday,afternoon,weekend,90.77,Hot (>23C)
Treadmill Running,2019-09-12 09:36:08,Treadmill Running,1.11,85.0,00:06:34.2,129,141,1.6,141.0,175.0,9:32,6:45,1.19,6:34.2,26.999999999999996,1,1.0,9,2019,37,3,3,09:36:08,2019-09-12,Thursday,morning,week_day,76.58,Hot (>23C)
Treadmill Running,2019-09-11 07:22:45,Treadmill Running,1.42,105.0,00:06:40.8,152,161,2.3,163.0,175.0,7:37,6:38,1.3,6:40.8,26.999999999999996,1,1.0,9,2019,37,2,3,07:22:45,2019-09-11,Wednesday,morning,week_day,73.94,Hot (>23C)
Running,2019-09-09 18:58:21,Santiago Running,0.92,62.0,00:04:34.8,134,157,1.5,155.0,177.0,8:03,6:56,1.29,4:34.8,29.0,1,1.0,9,2019,37,0,3,18:58:21,2019-09-09,Monday,night,week_day,67.39,Hot (>23C)
Running,2019-09-08 06:36:18,Running,0.92,74.0,00:05:22.7,134,147,1.8,146.0,175.0,9:31,8:49,1.16,5:22.7,29.0,1,1.0,9,2019,36,6,3,06:36:18,2019-09-08,Sunday,morning,weekend,80.43,Hot (>23C)
Running,2019-09-03 16:09:25,Kansas City Running,0.42,33.0,00:02:41.3,126,144,0.7,131.0,184.0,10:14,7:05,1.2,2:41.3,33.0,1,1.0,9,2019,36,1,3,16:09:25,2019-09-03,Tuesday,afternoon,week_day,78.57,Hot (>23C)
Running,2019-09-03 09:26:31,Kansas City Running,3.23,275.0,00:17:52,147,158,3.2,167.0,175.0,8:54,7:42,1.08,17:52,29.0,3,3.0,9,2019,36,1,3,09:26:31,2019-09-03,Tuesday,morning,week_day,85.14,Hot (>23C)
Cycling,2019-08-29 15:41:34,Washington Cycling,1.64,64.0,00:11:45,90,121,0.3,,,5.2,16.6,0.0,11:45,29.0,1,1.0,8,2019,35,3,3,15:41:34,2019-08-29,Thursday,afternoon,week_day,39.02,Hot (>23C)
Cycling,2019-08-27 22:13:01,Washington Cycling,7.02,191.0,00:43:16,84,111,0.4,,,6.0,15.7,0.0,43:16,25.999999999999996,1,1.0,8,2019,35,1,3,22:13:01,2019-08-27,Tuesday,night,week_day,27.21,Hot (>23C)
Cycling,2019-08-27 10:40:24,Washington Cycling,6.61,171.0,00:33:47,89,113,0.4,,,7.3,14.4,0.0,33:47,25.999999999999996,1,1.0,8,2019,35,1,3,10:40:24,2019-08-27,Tuesday,morning,week_day,25.87,Hot (>23C)
Cycling,2019-08-26 21:29:41,Washington Cycling,3.91,128.0,00:26:37,86,116,0.3,,,5.5,19.3,0.0,26:37,25.999999999999996,1,1.0,8,2019,35,0,3,21:29:41,2019-08-26,Monday,night,week_day,32.74,Hot (>23C)
Cycling,2019-08-26 20:46:26,Washington Cycling,1.35,56.0,00:06:53.4,104,125,0.4,,,7.3,11.4,0.0,6:53.4,25.0,1,1.0,8,2019,35,0,3,20:46:26,2019-08-26,Monday,night,week_day,41.48,Hot (>23C)
Cycling,2019-08-26 18:30:53,Washington Cycling,1.26,26.0,00:04:53.8,87,95,0.1,,,9.5,24.4,0.0,4:53.8,25.999999999999996,1,1.0,8,2019,35,0,3,18:30:53,2019-08-26,Monday,night,week_day,20.63,Hot (>23C)
Cycling,2019-08-26 17:24:07,Washington Cycling,1.53,47.0,00:07:09.0,96,107,0.2,,,8.0,17.9,0.0,7:09.0,26.999999999999996,1,1.0,8,2019,35,0,3,17:24:07,2019-08-26,Monday,afternoon,week_day,30.72,Hot (>23C)
Cycling,2019-08-26 11:31:48,Washington Cycling,0.71,27.0,00:04:28.0,91,112,0.1,,,5.9,19.1,0.0,4:28.0,26.999999999999996,1,1.0,8,2019,35,0,3,11:31:48,2019-08-26,Monday,morning,week_day,38.03,Hot (>23C)
Cycling,2019-08-26 09:42:55,Washington Cycling,4.38,122.0,00:23:55,88,116,0.3,,,6.8,21.8,0.0,23:55,25.0,1,1.0,8,2019,35,0,3,09:42:55,2019-08-26,Monday,morning,week_day,27.85,Hot (>23C)
Cycling,2019-08-26 09:21:18,Washington Cycling,1.14,21.0,00:04:44.2,82,94,0.1,,,9.0,16.1,0.0,4:44.2,25.0,1,1.0,8,2019,35,0,3,09:21:18,2019-08-26,Monday,morning,week_day,18.42,Hot (>23C)
Cycling,2019-08-26 08:05:17,Washington Cycling,0.66,20.0,00:03:32.3,90,99,0.1,,,6.9,13.3,0.0,3:32.3,24.0,1,1.0,8,2019,35,0,3,08:05:17,2019-08-26,Monday,morning,week_day,30.3,Hot (>23C)
Cycling,2019-08-25 22:58:16,Washington Cycling,3.62,82.0,00:17:45,84,105,0.2,,,7.6,15.6,0.0,17:45,24.0,1,1.0,8,2019,34,6,3,22:58:16,2019-08-25,Sunday,night,weekend,22.65,Hot (>23C)
Cycling,2019-08-25 14:59:55,Washington Cycling,3.01,69.0,00:11:41,92,109,0.2,,,9.6,20.0,0.0,11:41,25.999999999999996,1,1.0,8,2019,34,6,3,14:59:55,2019-08-25,Sunday,afternoon,weekend,22.92,Hot (>23C)
Cycling,2019-08-25 11:40:26,Washington Cycling,1.16,26.0,00:06:59.4,76,100,0.1,,,6.2,11.5,0.0,6:59.4,29.0,1,1.0,8,2019,34,6,3,11:40:26,2019-08-25,Sunday,morning,weekend,22.41,Hot (>23C)
Cycling,2019-08-25 10:44:41,Washington Cycling,3.91,110.0,00:20:06,90,113,0.3,,,7.2,18.2,0.0,20:06,26.999999999999996,1,1.0,8,2019,34,6,3,10:44:41,2019-08-25,Sunday,morning,weekend,28.13,Hot (>23C)
Cycling,2019-08-25 09:10:04,Washington Cycling,4.83,176.0,00:31:15,92,132,0.6,,,5.8,15.8,0.0,31:15,25.0,1,1.0,8,2019,34,6,3,09:10:04,2019-08-25,Sunday,morning,weekend,36.44,Hot (>23C)
Cycling,2019-08-24 13:09:00,Washington Cycling,4.65,181.0,00:30:59,93,120,0.5,,,5.6,16.9,0.0,30:59,30.999999999999996,1,1.0,8,2019,34,5,3,13:09:00,2019-08-24,Saturday,afternoon,weekend,38.92,Hot (>23C)
